Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
taxi aereo preço,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,5,40,"12,50%","3,21","16,06","8,82%","61,76%","0,00",0,0,"0,00%","401,50"
taxi aéreo helicóptero,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,5,41,"12,20%","1,79","8,97","48,15%","70,37%","0,00",0,0,"0,00%","218,78"
transporte aeromédico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,5,92,"5,43%","4,27","21,35","17,65%","88,24%","0,00",0,0,"0,00%","232,02"
remoção aerea,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,5,52,"9,62%","3,17","15,85","13,33%","80,00%","0,00",0,0,"0,00%","304,81"
aeromedico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,5,89,"5,62%","5,74","28,72","17,14%","77,14%","0,00",0,0,"0,00%","322,70"
uti aerea bahia,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",8,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Na média,5,25,"20,00%","14,50","72,48","18,75%","93,75%","0,00",0,0,"0,00%","2899,20"
helicóptero ambulância,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,5,104,"4,81%","4,20","21,00","47,62%","82,54%","0,00",0,0,"0,00%","201,93"
avião uti valor,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,5,66,"7,58%","6,07","30,37","15,09%","83,02%","0,00",0,0,"0,00%","460,17"
transporte aereo unimed,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,4,42,"9,52%","3,85","15,41","80,00%","88,00%","0,00",0,0,"0,00%","366,95"
aviao unimed,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,4,23,"17,39%","3,31","13,24","75,00%","75,00%","0,00",0,0,"0,00%","575,56"
taxi aero,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",6,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Na média,Abaixo da média,4,91,"4,40%","1,00","3,99","5,36%","67,86%","0,00",0,0,"0,00%","43,83"
uniair unimed,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",6,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Na média,4,47,"8,51%","1,88","7,51","65,79%","84,21%","0,00",0,0,"0,00%","159,79"
valor uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Acima da média,Abaixo da média,4,33,"12,12%","4,02","16,08","14,29%","96,43%","0,00",0,0,"0,00%","487,27"
helicoptero uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",4,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,4,42,"9,52%","2,88","11,53","35,48%","93,55%","0,00",0,0,"0,00%","274,61"
Helicóptero médico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,4,45,"8,89%","2,67","10,69","40,00%","80,00%","0,00",0,0,"0,00%","237,55"
helicoptero uti movel,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,4,5,"80,00%","3,78","15,13","75,00%","100,00%","0,00",0,0,"0,00%","3026,00"
uti aerea sao paulo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Na média,Na média,4,28,"14,29%","13,12","52,47","8,33%","91,67%","1,00",0,"52,47","25,00%","1874,07"
helicóptero uti preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,4,22,"18,18%","14,72","58,88","50,00%","92,86%","0,00",0,0,"0,00%","2676,36"
aviao uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,3,27,"11,11%","2,58","7,74","4,17%","79,17%","1,00",0,"7,74","33,33%","286,67"
transporte aéreo uti,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",8,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Na média,3,14,"21,43%","3,11","9,32","18,18%","72,73%","0,00",0,0,"0,00%","665,71"
unimed aeromedico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,3,17,"17,65%","3,26","9,77","54,55%","72,73%","0,00",0,0,"0,00%","574,71"
transporte aeromédico unimed,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,3,25,"12,00%","3,26","9,79","81,25%","87,50%","0,00",0,0,"0,00%","391,60"
helicóptero da ambulância,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,3,164,"1,83%","0,47","1,42","0,00%","0,00%","0,00",0,0,"0,00%","8,66"
uniair táxi aéreo,Qualificado, --,Correspondência de frase,v4 | search_institucional | BR,brand,BRL,"0,01",10,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Acima da média,3,15,"20,00%","1,71","5,12","90,91%","100,00%","0,00",0,0,"0,00%","341,43"
empresa taxi aereo,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Na média,Acima da média,Abaixo da média,3,97,"3,09%","1,97","5,90","13,41%","32,93%","0,00",0,0,"0,00%","60,82"
uti aerea valor,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,3,41,"7,32%","3,18","9,53","3,03%","81,82%","0,00",0,0,"0,00%","232,44"
uti aerea mato grosso,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",6,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Na média,3,20,"15,00%","5,55","16,64","28,57%","85,71%","0,00",0,0,"0,00%","832,00"
uti movel aérea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,3,64,"4,69%","10,06","30,19","18,00%","96,00%","0,00",0,0,"0,00%","471,72"
helicóptero ambulância,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Abaixo da média,3,14,"21,43%","12,26","36,77","66,67%","88,89%","0,00",0,0,"0,00%","2626,37"
ambulancia aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,2,11,"18,18%","6,28","12,55","0,00%","75,00%","0,00",0,0,"0,00%","1140,91"
aviao uti,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,77,"2,60%","2,72","5,43","14,81%","62,96%","0,00",0,0,"0,00%","70,52"
ambulancia aerea brasil,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,10,"20,00%","7,36","14,71","28,57%","100,00%","0,00",0,0,"0,00%","1471,00"
uti aerea internacional,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,9,"22,22%","12,49","24,98","16,67%","83,33%","0,00",0,0,"0,00%","2775,56"
helicoptero uti movel,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,2,10,"20,00%","2,90","5,79","66,67%","100,00%","0,00",0,0,"0,00%","579,00"
UTI aérea,Qualificado, --,Correspondência exata,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,38,"5,26%","22,84","45,68","10,34%","79,31%","0,00",0,0,"0,00%","1202,11"
aeromedico samu,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,56,"3,57%","1,25","2,49","28,21%","28,21%","0,00",0,0,"0,00%","44,46"
Helicóptero médico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,33,"6,06%","0,23","0,46","50,00%","50,00%","0,00",0,0,"0,00%","13,94"
aeromédico samu,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,2,13,"15,38%","4,41","8,81","62,50%","75,00%","0,00",0,0,"0,00%","677,69"
uti aérea preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,2,23,"8,70%","6,84","13,68","10,53%","73,68%","0,00",0,0,"0,00%","594,78"
uti movel aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Na média,Na média,2,12,"16,67%","6,88","13,77","0,00%","100,00%","0,00",0,0,"0,00%","1147,23"
ambulancia aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,2,1,"200,00%","3,44","6,88","0,00%","100,00%","0,00",0,0,"0,00%","6879,02"
uti aérea preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,2,8,"25,00%","4,51","9,02","20,00%","100,00%","0,00",0,0,"0,00%","1127,50"
valor uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,2,30,"6,67%","7,51","15,02","0,00%","92,00%","0,00",0,0,"0,00%","500,67"
custo uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,2,90,"2,22%","4,48","8,96","10,81%","89,19%","0,00",0,0,"0,00%","99,56"
aeromédico londrina,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",6,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Na média,Abaixo da média,2,4,"50,00%","12,59","25,18","50,00%","100,00%","0,00",0,0,"0,00%","6295,00"
transporte aereo unimed,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,2,6,"33,33%","6,72","13,44","50,00%","100,00%","0,00",0,0,"0,00%","2240,00"
transporte aereo uti movel,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Abaixo da média,Abaixo da média,1,5,"20,00%","3,46","3,46","0,00%","100,00%","0,00",0,0,"0,00%","692,00"
ambulância aérea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,1,6,"16,67%","2,76","2,76","40,00%","80,00%","0,00",0,0,"0,00%","460,00"
transporte aereo de pacientes,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,1,2,"50,00%","5,21","5,21","0,00%","100,00%","0,00",0,0,"0,00%","2605,00"
remoção aeromédica,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,1,7,"14,29%","2,60","2,60","0,00%","100,00%","0,00",0,0,"0,00%","371,43"
jato uti,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,1,5,"20,00%","1,50","1,50","20,00%","80,00%","0,00",0,0,"0,00%","300,00"
aero medico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,1,32,"3,13%","7,36","7,36","23,53%","88,24%","0,00",0,0,"0,00%","230,11"
helicoptero uti,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,1,18,"5,56%","4,68","4,68","54,55%","81,82%","0,00",0,0,"0,00%","260,00"
custo uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,1,9,"11,11%","4,09","4,09","11,11%","100,00%","0,00",0,0,"0,00%","454,44"
aeromédico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,1,77,"1,30%","0,48","0,48","29,73%","72,97%","0,00",0,0,"0,00%","6,23"
resgate aeromédico,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,1,42,"2,38%","4,32","4,32","25,00%","93,75%","0,00",0,0,"0,00%","102,86"
avião uti valor,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Abaixo da média,Abaixo da média,1,17,"5,88%","2,76","2,76","8,33%","91,67%","0,00",0,0,"0,00%","162,35"
transporte aeromédico preço,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,1,17,"5,88%","7,40","7,40","9,09%","81,82%","0,00",0,0,"0,00%","435,24"
unimed transporte aeromedica mg ltda,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Abaixo da média,Abaixo da média,1,10,"10,00%","4,67","4,67","66,67%","66,67%","0,00",0,0,"0,00%","467,00"
uniair,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",10,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Acima da média,1,8,"12,50%","0,22","0,22","66,67%","100,00%","0,00",0,0,"0,00%","27,50"
voeuniair,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",8,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Acima da média,1,2,"50,00%","0,96","0,96","100,00%","100,00%","0,00",0,0,"0,00%","480,00"
taxi aereo sorocaba,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,1,8,"12,50%","4,00","4,00","14,29%","85,71%","0,00",0,0,"0,00%","500,00"
taxi helicoptero preço,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,1,1,"100,00%","1,81","1,81","100,00%","100,00%","0,00",0,0,"0,00%","1810,00"
aluguel de jatinho,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,1,5,"20,00%","2,00","2,00","0,00%","80,00%","0,00",0,0,"0,00%","400,00"
ambulancia aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",3,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,1,17,"5,88%","7,32","7,32","27,27%","100,00%","0,00",0,0,"0,00%","430,59"
uti aerea salvador,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,1,34,"2,94%","4,42","4,42","3,70%","88,89%","0,00",0,0,"0,00%","130,00"
UTI Aerea,Qualificado, --,Correspondência exata,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Na média,1,72,"1,39%","2,79","2,79","9,26%","92,59%","0,00",0,0,"0,00%","38,75"
dn uti aerea,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,1,2,"50,00%","8,35","8,35","50,00%","100,00%","0,00",0,0,"0,00%","4173,23"
uti aerea cuiaba,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Na média,Na média,1,8,"12,50%","4,58","4,58","25,00%","100,00%","0,00",0,0,"0,00%","571,89"
