Relatórios do histórico de alterações
1 de junho de 2026 - 5 de agosto de 2026
Data e hora,Usuário,Campanha,Grupo de anúncios,Alterações
"11 de jun. de 2026, 11:58:13",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Frase de destaque
  O código do item é 126069769163
Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Imagem
  O código do item é 349921425865
Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Imagem
  O código do item é 349849603919"
"11 de jun. de 2026, 11:58:13",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"Itens alterados: 1 anúncio responsivo de pesquisa
  Descrição estava ""UTI aérea, táxi aéreo executivo, locação de aeronaves e hangaragem. (Asset ID: 124756293159)""
  Descrição estava ""Uniair Táxi Aéreo é uma Empresa Especializada em Transporte Aéreo, Seja Médico, Executivo. (Asset ID: 124756293168)""
  Título estava ""UTI Aérea - {LOCATION(City)} (Asset ID: 185293853576)""
  Descrição estava ""Nosso maior compromisso é cuidar de você. Atendimento 24h por dia todos os dias da semana. (Asset ID: 124756293162)""
  Descrição é ""Transporte aéreo ágil e seguro. UTI aérea e voos executivos com excelência e conforto. (Asset ID: 371609038936)""
  Descrição é ""Uniair: Especialistas em salvar vidas e encurtar distâncias. Voe com segurança e luxo. (Asset ID: 371609038942)""
  Descrição é ""Sua vida em boas mãos. Serviço de aeromédico e táxi aéreo com plantão 24 horas por dia. (Asset ID: 371609038939)""
  Título é ""UTI Aérea Urgente (Asset ID: 371609038933)""
  URL final é ""https://taxiaereo.uniair.com.br/uniair-a-geral-a-leadstaker-nova/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad3"""
"11 de jun. de 2026, 11:55:09",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"Itens alterados: 1 anúncio responsivo de pesquisa
  Título estava ""Uniair Táxi Aéreo (Asset ID: 168457769268)""
  Título estava ""Uniair | Aeromédico - UTI Aérea (Asset ID: 342156162244)""
  Título estava ""Transporte Aeromédico (Asset ID: 132280099260)""
  Título é ""{keyword:Transporte Aeromédico} (Asset ID: 350196742202)""
  URL final é ""https://taxiaereo.uniair.com.br/aeromedico/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad2"""
"11 de jun. de 2026, 11:51:33",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"Itens alterados: 1 anúncio responsivo de pesquisa
  Status alterado de pausada para ativado"
"11 de jun. de 2026, 11:51:18",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Frase de destaque
  O código do item é 126069769160
Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Frase de destaque
  O código do item é 342819008891
Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Sitelink
  O código do item é 371508494132
Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Frase de destaque
  O código do item é 126069769157
Recurso da campanha foi criado
  Status é Ativado
  O tipo de extensão é Frase de destaque
  O código do item é 355420545388"
"11 de jun. de 2026, 11:51:18",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"Itens alterados: 1 anúncio responsivo de pesquisa
  Título estava ""Transporte Aeromédico (Asset ID: 132280099260)""
  Título estava ""Ambulância Aérea (Asset ID: 127241348357)""
  Título estava ""UniAir - Táxi Aéreo (Asset ID: 197310187708)""
  Título estava ""Recomendado (Asset ID: 186018999220)""
  Título é ""Voe com a Uniair (Asset ID: 371508828587)""
  Título é ""Uti movel aérea (Asset ID: 224301780075)""
  Título é ""{keyword:Transporte Aeromédico} (Asset ID: 350196742202)""
  URL final é ""https://taxiaereo.uniair.com.br/uniair-a-geral-a-leadstaker-nova/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad3"""
"11 de jun. de 2026, 11:51:09",felipe.chernev@v4company.com,,,"Recurso mudou
  A coluna Texto da frase de destaque mudou de ""Jatos de Elite"" para ""Voe com a Uniair"""
"11 de jun. de 2026, 11:50:32",felipe.chernev@v4company.com,,,"Recurso mudou
  A coluna URL final mudou de ""https://taxiaereo.uniair.com.br/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=sitelink&utm_term=unimed"" para ""https://taxiaereo.uniair.com.br/aeromedico/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad3"""
"11 de jun. de 2026, 11:50:17",felipe.chernev@v4company.com,,,"Recurso foi criado
  URL final é ""https://taxiaereo.uniair.com.br/aeromedico/?utm_source=busca_paga_google_ads&utm_medium=cpc&utm_campaign=v4searchaeromedicos&utm_term=grupoaeromedico&utm_content=ad3""
  Texto do link é ""Atendimento 24horas""
  Status é ""Ativado"""
"11 de jun. de 2026, 11:34:10",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"Itens alterados: 1 anúncio responsivo de pesquisa
  Status alterado de ativado para pausada"
"9 de jun. de 2026, 13:32:10",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  avião sanitário"
"9 de jun. de 2026, 13:31:33",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  lider aviação"
"9 de jun. de 2026, 13:31:03",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  voo sanitario"
"9 de jun. de 2026, 13:29:44",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[ambulância particular]"
"9 de jun. de 2026, 13:29:16",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,"5 palavras-chave de correspondência exata negativo adicionado(a)
  -[aluguel de jato particular]
  -[jato avião]
  -[jato particular preço]
  -[quanto custa um jato particular]
  -[jato particular]"
"9 de jun. de 2026, 13:27:20",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,taxiaereo,"3 palavras-chave de correspondência exata negativo adicionado(a)
  -[aluguel de jatinho particular]
  -[jatinho particular preço]
  -[jatinho particular preto]"
"9 de jun. de 2026, 13:26:56",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,taxiaereo,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[jato particular]"
"9 de jun. de 2026, 13:26:41",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,taxiaereo,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[jatinho particular]"
"8 de jun. de 2026, 16:42:23",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 50,00 para R$ 45,00"
"8 de jun. de 2026, 16:42:18",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 50,00 para R$ 45,00"
"8 de jun. de 2026, 16:42:12",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 90,00 para R$ 85,00"
"8 de jun. de 2026, 16:41:51",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados: Valor do orçamento mudou de R$ 20,00 para R$ 15,00"
"8 de jun. de 2026, 16:41:47",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 20,00 para R$ 15,00"
"8 de jun. de 2026, 16:41:36",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento diminuiu
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 60,00 para R$ 50,00"
"8 de jun. de 2026, 16:41:30",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 100,00 para R$ 90,00"
"8 de jun. de 2026, 16:41:26",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento diminuiu
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 30,00 para R$ 20,00"
"1 de jun. de 2026, 13:42:23",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 50,00 para R$ 60,00"
"1 de jun. de 2026, 13:40:49",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 25,00 para R$ 30,00"
"1 de jun. de 2026, 13:40:43",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 15,00 para R$ 25,00"
"1 de jun. de 2026, 13:38:59",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 20,00 para R$ 50,00"
"1 de jun. de 2026, 13:38:35",felipe.chernev@v4company.com,v4 | search_institucional | BR,,"1 valor de orçamento aumentou
  v4 | search_institucional | BR: Valor do orçamento mudou de R$ 20,00 para R$ 50,00"
"1 de jun. de 2026, 13:34:50",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 60,00 para R$ 100,00"
