Palavra-chave de pesquisa
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
2026-05-26,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,33,"3,03%","1,18","1,18","40,00%","80,00%","8,00",0,"0,15","800,00%","35,76"
2026-05-27,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,23,"4,35%","1,06","1,06","16,67%","100,00%","7,00",0,"0,15","700,00%","46,09"
2026-05-30,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,41,"2,44%","0,59","0,59","9,09%","81,82%","6,00",0,"0,10","600,00%","14,39"
2026-06-08,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,9,"11,11%","1,15","1,15","25,00%","100,00%","6,00",0,"0,19","600,00%","127,88"
2026-07-04,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,50,"2,00%","1,83","1,83","20,51%","56,41%","4,00",0,"0,46","400,00%","36,60"
2026-07-05,Purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,37,"2,70%","3,01","3,01","12,50%","50,00%","4,00",0,"0,75","400,00%","81,26"
2026-05-04,usando aspirador de pó,Removido,removido,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,0,1,3,"33,33%","0,23","0,23",0,0,"0,00",0,0,"0,00%","76,67"
2026-02-04,ipc ecoclean,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","1,17","1,17","0,00%","100,00%","8,00",0,"0,15","800,00%","1169,79"
2026-02-02,aspirador purificador de ar,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","1,98","1,98","0,00%","100,00%","3,00",0,"0,66","300,00%","1980,00"
2026-04-18,aspirador de pó vertical 2000w,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,60,"1,67%","0,51","0,51","6,25%","68,75%","4,00",0,"0,13","400,00%","8,50"
2026-04-19,aspirador de pó vertical 2000w,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,126,"0,79%","1,43","1,43","21,05%","89,47%","4,00",0,"0,36","400,00%","11,34"
2026-05-11,aspirador de pó vertical 2000w,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,30,"3,33%","0,39","0,39",0,0,"3,00",0,"0,13","300,00%","13,00"
2026-07-03,saúde respiratória,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,24,"4,17%","0,50","0,50",0,0,"15,00",0,"0,03","1500,00%","20,83"
2026-04-13,purificador de ar hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","1,92","1,92","0,00%","100,00%","6,00",0,"0,32","600,00%","1920,00"
2026-05-26,purificador de ar hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,4,"25,00%","0,98","0,98","25,00%","100,00%","4,00",0,"0,25","400,00%","245,00"
2026-01-31,extratora de sujeira,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,28,"3,57%","0,98","0,98","17,65%","82,35%","4,00",0,"0,25","400,00%","35,00"
2026-05-10,extratora de sujeira,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,5,"20,00%","0,29","0,29",0,0,"6,00",0,"0,05","600,00%","58,00"
2026-05-17,extratora de sujeira,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,13,"7,69%","0,57","0,57",0,0,"1,00",0,"0,57","100,00%","43,85"
2026-05-27,extratora de sujeira,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,21,"4,76%","0,58","0,58","33,33%","66,67%","6,00",0,"0,10","600,00%","27,62"
2026-05-30,extratora de sujeira,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,13,"7,69%","0,17","0,17","28,57%","42,86%","4,00",0,"0,04","400,00%","13,08"
2026-07-02,extratora de sujeira,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,26,"3,85%","0,86","0,86","5,88%","41,18%","3,00",0,"0,29","300,00%","33,08"
2026-05-28,hyla valor,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","1,34","1,34","100,00%","100,00%","0,00",0,0,"0,00%","1340,00"
2026-03-24,ipc ea135,Removido,removido,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,0,1,1,"100,00%","5,71","5,71","100,00%","100,00%","5,00",0,"1,14","500,00%","5710,00"
2026-05-31,máquina de lavar tapetes e sofás,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,2,"50,00%","1,26","1,26","0,00%","100,00%","6,00",0,"0,21","600,00%","627,52"
2026-05-23,wap spot cleaner,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,10,"10,00%","0,26","0,26",0,0,"0,00",0,0,"0,00%","26,00"
2026-05-02,aspirador hyla vale a pena,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","0,66","0,66","0,00%","100,00%","0,37",0,"1,80","36,66%","660,00"
2026-06-08,aspirador hyla amazon,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","0,88","0,88","0,00%","100,00%","6,00",0,"0,15","600,00%","880,00"
2026-07-01,aspirador hyla amazon,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","1,62","1,62","0,00%","100,00%","7,00",0,"0,23","700,00%","1620,00"
2026-04-16,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,2,"50,00%","0,47","0,47","0,00%","100,00%","4,00",0,"0,12","400,00%","235,00"
2026-04-18,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,1,"100,00%","1,35","1,35","100,00%","100,00%","8,00",0,"0,17","800,00%","1350,00"
2026-05-12,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,35,"2,86%","0,96","0,96","10,34%","72,41%","14,00",0,"0,07","1400,00%","27,43"
2026-05-14,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,8,"12,50%","1,58","1,58","14,29%","85,71%","2,27",0,"0,70","226,87%","197,50"
2026-05-25,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,2,"50,00%","0,71","0,71","50,00%","100,00%","13,00",0,"0,05","1300,00%","355,00"
2026-05-26,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,8,"12,50%","1,00","1,00","0,00%","75,00%","12,00",0,"0,08","1200,00%","125,00"
2026-05-30,extratora hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",1,8,"12,50%","1,62","1,62","28,57%","85,71%","10,00",0,"0,16","1000,00%","202,50"
2026-02-04,extratora aqua cleaner,Removido,removido,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,0,1,1,"100,00%","1,40","1,40","0,00%","100,00%","4,00",0,"0,35","400,00%","1400,00"
2026-01-20,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,7,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-22,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-23,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-25,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,10,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-26,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,7,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-28,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,7,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-30,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-31,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-01,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,17,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-02,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,4,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-03,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-04,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-06,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-07,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-08,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-10,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-11,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-12,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-13,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-14,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
2026-02-15,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-16,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,9,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-17,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,4,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-18,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-19,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,14,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-20,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-21,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-22,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-23,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-24,personal organizer,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-12,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-13,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-14,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-15,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-16,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-21,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-22,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-23,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-24,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-02-14,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-15,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-20,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-21,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-25,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-26,cama,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-12,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-14,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,18,"0,00%",0,"0,00","80,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-15,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,4,"0,00%",0,"0,00","75,00%","75,00%","0,00",0,0,0,"0,00"
2026-01-16,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-20,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,6,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-21,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-22,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,11,"0,00%",0,"0,00","54,55%","90,91%","0,00",0,0,0,"0,00"
2026-01-23,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,6,"0,00%",0,"0,00","80,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-26,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-27,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-28,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-29,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,4,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-31,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-03,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-04,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
2026-02-06,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-07,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-22,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-23,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-24,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-25,colchão,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-13,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-14,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-20,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-21,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-01-25,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-26,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-10,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-11,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-02-14,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-15,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-02-16,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-17,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-18,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-19,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-20,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-21,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-22,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-23,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-24,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-25,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-26,Aromaterapia,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
2026-02-25,colchoes,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-02-26,colchoes,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-13,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-14,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
2026-01-23,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2026-01-28,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,9,"0,00%",0,"0,00","12,50%","62,50%","0,00",0,0,0,"0,00"
2026-01-31,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,7,"0,00%",0,"0,00","0,00%","60,00%","0,00",0,0,0,"0,00"
2026-02-01,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,16,"0,00%",0,"0,00","42,86%","71,43%","0,00",0,0,0,"0,00"
2026-02-04,hyla,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
