Palavra-chave de pesquisa
3 de março de 2026 - 28 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-07-28,central do laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,86,"4,65%","0,55","2,18","3,45%","62,07%","0,00",0,0,"0,00%"
2026-04-20,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,5,"80,00%","0,71","2,84","100,00%","100,00%","0,00",0,0,"0,00%"
2026-05-20,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,17,"23,53%","0,54","2,14","80,00%","80,00%","0,00",0,0,"0,00%"
2026-07-03,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,7,"57,14%","0,36","1,45","42,86%","100,00%","0,00",0,0,"0,00%"
2026-07-24,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,12,"33,33%","0,58","2,33","37,50%","100,00%","0,00",0,0,"0,00%"
2026-03-26,laser 1500w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,15,"26,67%","1,74","6,95","55,56%","88,89%","0,00",0,0,"0,00%"
2026-04-17,laser 1500w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,3,"133,33%","0,41","1,65",0,0,"0,00",0,0,"0,00%"
2026-05-22,laser 1500w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,80,"5,00%","1,75","6,98","40,54%","81,08%","0,00",0,0,"0,00%"
2026-03-12,cnc 1310,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,113,"3,54%","1,61","6,44","28,33%","90,00%","0,00",0,0,"0,00%"
2026-04-21,cnc 1310,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,90,"4,44%","2,58","10,30","48,48%","78,79%","0,00",0,0,"0,00%"
2026-07-03,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,69,"5,80%","0,60","2,39","15,09%","52,83%","0,00",0,0,"0,00%"
2026-07-10,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,93,"4,30%","1,03","4,11","13,58%","43,21%","0,00",0,0,"0,00%"
2026-07-25,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,161,"2,48%","0,68","2,70","19,23%","70,19%","0,00",0,0,"0,00%"
2026-07-26,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,58,"6,90%","0,48","1,91","9,52%","57,14%","0,00",0,0,"0,00%"
2026-03-12,laser madeira corte e gravação a laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,48,"8,33%","2,52","10,08","47,62%","80,95%","0,00",0,0,"0,00%"
2026-03-12,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,21,"19,05%","1,10","4,41","33,33%","88,89%","0,00",0,0,"0,00%"
2026-04-14,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,84,"4,76%","0,36","1,44","29,41%","91,18%","0,00",0,0,"0,00%"
2026-07-24,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,14,"28,57%","0,65","2,61","14,29%","42,86%","0,00",0,0,"0,00%"
2026-05-21,tubo laser spt,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,84,"4,76%","1,27","5,08","9,86%","78,87%","0,00",0,0,"0,00%"
2026-04-12,máquina de gravar a laser em metal,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,89,"4,49%","2,44","9,75","64,79%","92,96%","0,00",0,0,"0,00%"
2026-04-14,máquina de gravar a laser em metal,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,148,"2,70%","2,48","9,91","48,00%","86,67%","0,00",0,0,"0,00%"
2026-07-25,máquina de gravar a laser em metal,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,107,"3,74%","1,05","4,19","15,79%","44,74%","0,00",0,0,"0,00%"
2026-06-17,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,59,"6,78%","0,65","2,58","23,81%","80,95%","0,00",0,0,"0,00%"
2026-06-27,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,93,"4,30%","0,63","2,53","11,48%","62,30%","0,00",0,0,"0,00%"
2026-07-22,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",4,159,"2,52%","1,48","5,91","23,76%","62,38%","0,00",0,0,"0,00%"
2026-07-03,tubo laser co2,Qualificado, --,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",4,15,"26,67%","3,33","13,32","50,00%","71,43%","0,00",0,0,"0,00%"
2026-07-09,acessorios para maquina laser,Limitado,baixa qualidade,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",4,107,"3,74%","4,87","19,46","53,85%","76,92%","0,00",0,0,"0,00%"
2026-07-25,acessorios para maquina laser,Limitado,baixa qualidade,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",4,142,"2,82%","1,55","6,21","16,46%","44,30%","0,00",0,0,"0,00%"
2026-07-01,maquina de corte a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",4,77,"5,19%","5,18","20,70","19,64%","69,64%","0,00",0,0,"0,00%"
2026-07-20,maquina de corte a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",4,95,"4,21%","0,21","0,84","0,00%","100,00%","0,00",0,0,"0,00%"
2026-07-02,maquina de limpeza a laser,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",4,92,"4,35%","3,45","13,81","28,17%","66,20%","0,00",0,0,"0,00%"
2026-07-11,maquina de limpeza a laser,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",4,55,"7,27%","1,55","6,19","20,83%","66,67%","0,00",0,0,"0,00%"
2026-07-08,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",4,87,"4,60%","2,28","9,11","28,30%","64,15%","0,00",0,0,"0,00%"
2026-07-11,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",4,358,"1,12%","0,62","2,49","3,51%","31,58%","0,00",0,0,"0,00%"
2026-07-15,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",4,228,"1,75%","0,21","0,84","0,00%","14,29%","0,00",0,0,"0,00%"
2026-07-22,maquina de gravacao a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,BRL,"0,01",4,360,"1,11%","0,25","0,98","0,00%","0,00%","0,00",0,0,"0,00%"
2026-06-17,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,181,"1,66%","0,80","2,39","13,70%","63,01%","0,00",0,0,"0,00%"
2026-03-11,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,137,"2,19%","2,30","6,89","22,97%","90,54%","0,00",0,0,"0,00%"
2026-04-12,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,44,"6,82%","1,36","4,07","24,00%","92,00%","0,00",0,0,"0,00%"
2026-07-02,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,129,"2,33%","0,34","1,03","0,00%","27,27%","0,00",0,0,"0,00%"
2026-07-07,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,105,"2,86%","0,10","0,30",0,0,"0,00",0,0,"0,00%"
2026-07-21,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,27,"11,11%","1,37","4,10","13,33%","73,33%","0,00",0,0,"0,00%"
2026-07-22,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,36,"8,33%","1,14","3,41","8,70%","60,87%","0,00",0,0,"0,00%"
2026-03-25,Maquina uv,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,50,"6,00%","1,90","5,71","36,59%","87,80%","0,00",0,0,"0,00%"
2026-06-26,Maquina uv,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,38,"7,89%","1,63","4,90","30,43%","78,26%","0,00",0,0,"0,00%"
2026-07-22,Maquina uv,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,45,"6,67%","1,25","3,76","6,98%","55,81%","0,00",0,0,"0,00%"
2026-06-09,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,8,"37,50%","0,04","0,11","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-26,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,9,"33,33%","0,52","1,55","75,00%","100,00%","0,00",0,0,"0,00%"
2026-07-13,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,15,"20,00%","0,19","0,56","71,43%","100,00%","0,00",0,0,"0,00%"
2026-03-10,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,54,"5,56%","6,36","19,08","59,09%","84,09%","0,00",0,0,"0,00%"
2026-03-14,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,42,"7,14%","1,50","4,50","29,03%","90,32%","0,00",0,0,"0,00%"
2026-05-21,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,23,"13,04%","1,40","4,20","28,57%","85,71%","0,00",0,0,"0,00%"
2026-07-12,Maquina fiber laser,Limitado,baixa qualidade,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,43,"6,98%","0,21","0,63",0,0,"0,00",0,0,"0,00%"
2026-04-17,Melhor maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,66,"4,55%","0,58","1,75","33,33%","88,89%","0,00",0,0,"0,00%"
2026-04-19,Melhor maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,118,"2,54%","0,96","2,88","12,24%","71,43%","0,00",0,0,"0,00%"
2026-06-24,Melhor maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",3,109,"2,75%","0,49","1,48","3,57%","57,14%","0,00",0,0,"0,00%"
2026-07-22,maquina de corte a laser,Limitado,baixa qualidade,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",3,185,"1,62%","0,40","1,20","10,00%","10,00%","0,00",0,0,"0,00%"
2026-07-27,comprar maquina de corte a laser,Qualificado, --,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",3,169,"1,78%","0,30","0,90","2,00%","46,00%","0,00",0,0,"0,00%"
2026-07-28,comprar maquina de corte a laser,Qualificado, --,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",3,175,"1,71%","0,69","2,08","9,26%","57,41%","0,00",0,0,"0,00%"
2026-07-02,maquina de corte a laser profissional,Qualificado, --,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",3,58,"5,17%","0,30","0,91","0,00%","27,27%","0,00",0,0,"0,00%"
2026-07-25,maquina de corte a laser profissional,Qualificado, --,Correspondência de frase,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",3,47,"6,38%","0,27","0,80","0,00%","33,33%","0,00",0,0,"0,00%"
2026-03-13,tubo laser 100w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,137,"2,19%","2,26","6,77","35,19%","81,48%","0,00",0,0,"0,00%"
2026-07-21,tubo laser 100w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,31,"9,68%","1,03","3,09","11,11%","77,78%","0,00",0,0,"0,00%"
2026-07-22,tubo laser 100w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,100,"3,00%","1,82","5,45","17,98%","51,69%","0,00",0,0,"0,00%"
2026-04-14,corte a laser em mdf,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,22,"13,64%","2,26","6,78","71,43%","100,00%","0,00",0,0,"0,00%"
2026-04-21,corte a laser em mdf,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,17,"17,65%","2,48","7,44","40,00%","100,00%","0,00",0,0,"0,00%"
2026-03-11,corte de acrilico a laser,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,48,"6,25%","3,96","11,89","50,00%","86,36%","0,00",0,0,"0,00%"
2026-03-13,fonte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,12,"25,00%","1,46","4,37","0,00%","25,00%","0,00",0,0,"0,00%"
2026-07-13,central do laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,16,"18,75%","0,71","2,13","8,33%","58,33%","0,00",0,0,"0,00%"
2026-07-25,central do laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,83,"3,61%","1,21","3,64","23,53%","63,24%","0,00",0,0,"0,00%"
2026-04-16,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,5,"60,00%","0,23","0,70","66,67%","100,00%","0,00",0,0,"0,00%"
2026-06-09,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,9,"33,33%","0,01","0,03","100,00%","100,00%","0,00",0,0,"0,00%"
2026-07-07,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,10,"30,00%","0,13","0,40","80,00%","80,00%","0,00",0,0,"0,00%"
2026-07-12,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,4,"75,00%","0,55","1,66","50,00%","100,00%","0,00",0,0,"0,00%"
2026-07-26,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,6,"50,00%","0,56","1,67","33,33%","83,33%","0,00",0,0,"0,00%"
2026-07-27,mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,9,"33,33%","0,28","0,85","66,67%","100,00%","0,00",0,0,"0,00%"
2026-04-14,cnc 1310,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,64,"4,69%","0,35","1,05",0,0,"0,00",0,0,"0,00%"
2026-04-18,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,77,"3,90%","0,58","1,75","17,14%","74,29%","0,00",0,0,"0,00%"
2026-06-29,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,48,"6,25%","0,99","2,98","13,33%","62,22%","0,00",0,0,"0,00%"
2026-07-11,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,49,"6,12%","1,02","3,06","8,70%","45,65%","0,00",0,0,"0,00%"
2026-07-17,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,23,"13,04%","0,48","1,45","11,11%","50,00%","0,00",0,0,"0,00%"
2026-07-28,laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,87,"3,45%","0,70","2,11","8,70%","76,81%","0,00",0,0,"0,00%"
2026-03-26,gravação a laser em metal preço,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,27,"11,11%","0,58","1,75",0,0,"0,00",0,0,"0,00%"
2026-03-11,máquina de cortar eva a laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,12,"25,00%","3,94","11,83","72,73%","90,91%","0,00",0,0,"0,00%"
2026-03-10,laser madeira corte e gravação a laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,37,"8,11%","6,23","18,69","88,00%","96,00%","0,00",0,0,"0,00%"
2026-04-14,laser madeira corte e gravação a laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,51,"5,88%","2,65","7,96","51,43%","82,86%","0,00",0,0,"0,00%"
2026-03-13,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,27,"11,11%","1,20","3,60","16,67%","91,67%","0,00",0,0,"0,00%"
2026-04-18,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,39,"7,69%","0,88","2,65","6,67%","80,00%","0,00",0,0,"0,00%"
2026-07-25,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,51,"5,88%","0,96","2,89","13,79%","79,31%","0,00",0,0,"0,00%"
2026-05-22,tubo laser spt,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,17,"17,65%","1,72","5,16","25,00%","100,00%","0,00",0,0,"0,00%"
2026-03-13,lente co2 laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,24,"12,50%","2,16","6,48","21,05%","68,42%","0,00",0,0,"0,00%"
2026-04-20,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,52,"5,77%","0,97","2,90","26,92%","57,69%","0,00",0,0,"0,00%"
2026-06-28,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",3,69,"4,35%","0,85","2,56","2,86%","62,86%","0,00",0,0,"0,00%"
2026-07-26,tubo laser co2,Qualificado, --,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",3,16,"18,75%","2,29","6,88","37,50%","93,75%","0,00",0,0,"0,00%"
2026-07-02,lentes para maquina laser,Qualificado, --,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",3,39,"7,69%","6,59","19,76","61,11%","77,78%","0,00",0,0,"0,00%"
2026-07-07,acessorios para maquina laser,Limitado,baixa qualidade,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",3,44,"6,82%","5,26","15,77","29,27%","46,34%","0,00",0,0,"0,00%"
2026-07-12,acessorios para maquina laser,Limitado,baixa qualidade,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",3,180,"1,67%","1,92","5,76","18,18%","49,24%","0,00",0,0,"0,00%"
2026-07-13,acessorios para maquina laser,Limitado,baixa qualidade,Correspondência de frase,03 [V4] SEACH_PEÇAS,Peças,BRL,"0,01",3,63,"4,76%","1,85","5,55","14,55%","45,45%","0,00",0,0,"0,00%"
2026-07-18,maquina de corte a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,85,"3,53%","0,23","0,68","0,00%","28,57%","0,00",0,0,"0,00%"
2026-07-21,maquina de corte a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,88,"3,41%","0,21","0,63","0,00%","100,00%","0,00",0,0,"0,00%"
2026-07-01,maquina de limpeza a laser,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,38,"7,89%","3,86","11,58","45,71%","62,86%","0,00",0,0,"0,00%"
2026-07-12,maquina de limpeza a laser,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,110,"2,73%","1,03","3,10","12,50%","50,00%","0,00",0,0,"0,00%"
2026-07-07,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,62,"4,84%","3,05","9,15","14,29%","55,36%","0,00",0,0,"0,00%"
2026-07-09,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,36,"8,33%","2,44","7,32","36,67%","76,67%","0,00",0,0,"0,00%"
2026-07-10,maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",3,25,"12,00%","1,28","3,84","20,00%","65,00%","0,00",0,0,"0,00%"
2026-07-04,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,100,"2,00%","0,25","0,49","0,00%","0,00%","0,00",0,0,"0,00%"
2026-07-26,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,50,"4,00%","0,59","1,18","0,00%","33,33%","0,00",0,0,"0,00%"
2026-03-27,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,4,"50,00%","1,56","3,12","66,67%","100,00%","0,00",0,0,"0,00%"
2026-06-27,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,205,"0,98%","0,20","0,40","7,69%","57,69%","0,00",0,0,"0,00%"
2026-06-28,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,86,"2,33%","1,67","3,33","25,00%","50,00%","0,00",0,0,"0,00%"
2026-07-11,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,163,"1,23%","0,22","0,44","0,00%","33,33%","0,00",0,0,"0,00%"
2026-07-15,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,97,"2,06%","0,32","0,63","10,00%","30,00%","0,00",0,0,"0,00%"
2026-07-17,Maquina de corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,112,"1,79%","0,27","0,54","0,00%","25,00%","0,00",0,0,"0,00%"
2026-03-11,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,44,"4,55%","1,59","3,18","16,67%","100,00%","0,00",0,0,"0,00%"
2026-03-26,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,6,"33,33%","1,88","3,75","50,00%","100,00%","0,00",0,0,"0,00%"
2026-04-12,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,11,"18,18%","1,42","2,84","0,00%","100,00%","0,00",0,0,"0,00%"
2026-07-13,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,53,"3,77%","0,25","0,50","0,00%","0,00%","0,00",0,0,"0,00%"
2026-07-23,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,26,"7,69%","1,10","2,19","10,00%","70,00%","0,00",0,0,"0,00%"
2026-07-24,Maquina corte a laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,25,"8,00%","0,76","1,51","8,33%","66,67%","0,00",0,0,"0,00%"
2026-04-13,Maquina uv,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,21,"9,52%","0,41","0,81","11,11%","77,78%","0,00",0,0,"0,00%"
2026-04-19,Maquina uv,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,11,"18,18%","0,68","1,36","12,50%","87,50%","0,00",0,0,"0,00%"
2026-04-20,Maquina uv,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,27,"7,41%","1,00","1,99","4,55%","63,64%","0,00",0,0,"0,00%"
2026-03-11,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,18,"11,11%","1,41","2,81","58,33%","91,67%","0,00",0,0,"0,00%"
2026-03-12,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,11,"18,18%","1,08","2,16","50,00%","87,50%","0,00",0,0,"0,00%"
2026-04-14,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,10,"20,00%","1,58","3,15","75,00%","100,00%","0,00",0,0,"0,00%"
2026-05-25,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,3,"66,67%","0,02","0,03","50,00%","100,00%","0,00",0,0,"0,00%"
2026-06-27,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,3,"66,67%","0,64","1,27","0,00%","100,00%","0,00",0,0,"0,00%"
2026-06-29,Mercado laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",2,7,"28,57%","0,21","0,42","100,00%","100,00%","0,00",0,0,"0,00%"
